VariableLevel,VariableSource,VariableName,MeasurementUnit,PossibleValues,Explanation,To include in LabFactors paper
Lab,Pre-collection Questionnaire,gazefollowingNother,,,,0
Lab,Pre-collection Questionnaire,gfsecondsession,,,,0
Lab,Pre-collection Questionnaire,gazefollowingNsecondother,,,,0
Lab,Pre-collection Questionnaire,gazefollowingothertext,,,,0
Lab,Pre-collection Questionnaire,gazefollowing-method,,,,0
Lab,Pre-collection Questionnaire,gazefollowingmethodother,,,,0
Lab,Pre-collection Questionnaire,recruitmentmethod,,,,X
Lab,Pre-collection Questionnaire,Screening,,,,0
Lab,Pre-collection Questionnaire,Compensation,,,,X
Lab,Pre-collection Questionnaire,Compensationtext,,,,0
Lab,Pre-collection Questionnaire,compensationtext2,,,,0
Lab,Pre-collection Questionnaire,cashtext,,,,0
Lab,Pre-collection Questionnaire,introcredittext,,,,0
Lab,Pre-collection Questionnaire,compensationothertext,,,,0
Lab,Pre-collection Questionnaire,Ras,,,,X
Lab,Pre-collection Questionnaire,Rastext,,,,0
Lab,Pre-collection Questionnaire,GPAtext,,,,0
Lab,Pre-collection Questionnaire,RAsOtherText,,,,0
Lab,Pre-collection Questionnaire,Training,,,,0
Lab,Pre-collection Questionnaire,TrainingCriteria,,,,X
Lab,Pre-collection Questionnaire,Eyetracker,,,,0
Lab,Pre-collection Questionnaire,Eyetracker-Maybe-Text,,,,0
Lab,Pre-collection Questionnaire,Eyetracking-specs,,,,0
Lab,Pre-collection Questionnaire,SS,,,,0
Lab,Pre-collection Questionnaire,SS-Text,,,,0
Lab,Pre-collection Questionnaire,SS-Hardware,,,,0
Lab,Pre-collection Questionnaire,HPP,,,,0
Lab,Pre-collection Questionnaire,HPP-Text,,,,0
Lab,Pre-collection Questionnaire,HPP-Hardware,,,,0
Lab,Pre-collection Questionnaire,HPP-LR,,,,0
Lab,Pre-collection Questionnaire,BlinkRate,,,,0
Lab,Pre-collection Questionnaire,BlinkRateOther,,,,0
Lab,Pre-collection Questionnaire,Deviations,,,,0
Lab,Pre-collection Questionnaire,Deviations-Text,,,,0
Lab,Pre-collection Questionnaire,DeviationsText2,,,,0
Lab,Pre-collection Questionnaire,GFMethod,,,,0
Lab,Pre-collection Questionnaire,GFMethodText,,,,0
Lab,Pre-collection Questionnaire,Experimenter-location,,,,X
Lab,Pre-collection Questionnaire,ExperimenterLocationText,,,,0
Lab,Pre-collection Questionnaire,ExperimenterLocationOtherText,,,,0
Lab,Pre-collection Questionnaire,SoundAttenuation,,,,X
Lab,Pre-collection Questionnaire,SAText1,,,,0
Lab,Pre-collection Questionnaire,SA-Text2,,,,0
Lab,Pre-collection Questionnaire,Carseat,,,,X
Lab,Pre-collection Questionnaire,Headphones,,,,X
Lab,Pre-collection Questionnaire,DataType,,,,0
Lab,Pre-collection Questionnaire,OfflineText,,,,0
Lab,Pre-collection Questionnaire,OtherlookingTimeText,,,,0
Lab,Pre-collection Questionnaire,Decibel,,,,0
Lab,Pre-collection Questionnaire,Testing1,,,,X
Lab,Pre-collection Questionnaire,TestingMaskingMusic,,,,X
Lab,Pre-collection Questionnaire,TestingVisualDisplay,,,,X
Lab,Pre-collection Questionnaire,Attachments,,,,0
Lab,Pre-collection Questionnaire,AnythingElse,,,,0
Lab,Pre-collection Questionnaire,Contact,,,,0
Lab,Pre-collection Questionnaire,Contact-text,,,,0
Lab,Post-collection Questionnaire,labname,,,laboratory code,0
Lab,Post-collection Questionnaire,SurveyTaker,,,person filling the form,0
Lab,Post-collection Questionnaire,CurrentEmail,,,,0
Lab,Post-collection Questionnaire,UploadChecklist,,,Have you submitted everything on the checklist?,0
Lab,Post-collection Questionnaire,VideoVolumeName,,,"If you have public participant data, where can it be found?",0
Lab,Post-collection Questionnaire,OtherData,,,,0
Lab,Post-collection Questionnaire,ProtocolChange,,,,0
Lab,Post-collection Questionnaire,WhatChange,,,,0
Lab,Post-collection Questionnaire,TestRetest,,,Still collecting data for test-retest?,0
Lab,Post-collection Questionnaire,CDI,,,Still collecting data for MCDI project?,0
Lab,Post-collection Questionnaire,LanguageLab,,,Is this a language development lab (1-7)  ,X
Lab,Post-collection Questionnaire,NewMethodoloy,,,to what extent was this study a new METHODOLOGICAL approach for you?  ,X
Lab,Supplemental Questionnaire,LanguageLab,,,Is this a language development lab (1-7)  ,X
Lab,Supplemental Questionnaire,NewMethodoloy,,,to what extent was this study a new METHODOLOGICAL approach for you?  ,X
Lab,Supplemental Questionnaire,RAKidExperience ,,," For the main RA testing in your lab  how many participants under the age of 4 had they run prior to MB1? "" ",X
Lab,Supplemental Questionnaire,RAInfantExperience ,,,"For the main RA testing in your lab  how many INFANTS had they run prior to MB1? "" ",X
Lab,Supplemental Questionnaire,RAHours ,,, On averages  how many hours a week did this person work in the lab? ,X
Lab,Supplemental Questionnaire,WalkingDistance ,,, How far do families have to walk to get to the lab?  ,X
Lab,Supplemental Questionnaire,NumRAs ,,, At a minimum  how many lab members are needed to run an MB1 session in your lab? ,X
Lab,Supplemental Questionnaire,VisualClutterWarmup,,, In the space where Caregivers and families sit to fill out paperwork and 'warm up'  how much visual clutter is there? ,X
Lab,Supplemental Questionnaire,PeacefulWarmup,,, On a scale from 1 (very peaceful) to 7 (very stimulating)  how peaceful/stimulating would you say your warmup room is? ,X
Lab,Supplemental Questionnaire,WarmupToTestDistance,,,How far apart are the spaces where families fill out paperwork and 'warm up' and where the MB1 experiment happens?  ,X
Lab,Supplemental Questionnaire,VisitOrdering,,,Which of the following sequence matches the typical experience for families participating in MB1 in your lab?  ,X
Lab,Supplemental Questionnaire,WallColor ,,, What colour(s) are the walls in your testing room or the booth you test children in?  ,X
Lab,Supplemental Questionnaire,BoothLighting ,,, How dark is the lighting during testing?  ,X
Lab,Supplemental Questionnaire,BoothSize ,,," How large in width/depth is the testing room (or booth/section  if applicable) where the baby & caregiver sit during MB1? (e.g. 4 feet by 5 feet)"" ",X
Lab,Supplemental Questionnaire,VisualClutterBooth ,,, In the space where MB1 experiments actually take place  how much visual clutter is there? ,X
Lab,Supplemental Questionnaire,PeacefulBooth ,,, On a scale from 1 (very peaceful) to 7 (very stimulating)  how peaceful/stimulating would you say your testing area is? ,X
Lab,Supplemental Questionnaire,Multipurpose ,,, Is this room/space used for anything other than the MB1 experiment or similar setups  ,X
Lab,Supplemental Questionnaire,StimSize ,,, How large is your visual display for MB1 (i.e. the checkerboard) in inches (e.g. 8 inches by 10 inches)  ,X
Lab,Supplemental Questionnaire,DisappearingRA ,,, Did the infant see an RA who entered the room with the family and then went out of the child's view  and was that RA still partly visible?  ,X
Lab,Supplemental Questionnaire,CaregiverAudioBlinding ,,, How  if at all  were caregivers participating in MB1 kept from hearing the experiment?,X
Lab,Supplemental Questionnaire,CaregiverVisualBlinding ,,, How  if at all  were caregivers participating in MB1 kept from seeing the experiment?,X
