lab,subid,session_error_recoded,session_error_change_reason
musdevutm,mb07,1,experiment ended early
musdevutm,mb08,1,experiment ended early
musdevutm,mb13,1,experiment ended early
musdevutm,mb15,1,experiment ended early
musdevutm,mb17,1,experiment ended early
musdevutm,mb18,1,experiment ended early
musdevutm,mb24,1,experiment ended early
musdevutm,mb29,1,experimenter error does not affect procedure
musdevutm,mb30,1,experiment ended early
musdevutm,mb34,1,experiment ended early
pocdnorthwestern,mb17,1,fussiness handled at trial level
pocdnorthwestern,mb27,1,fussiness handled at trial level
pocdnorthwestern,mb36,1,fussiness handled at trial level
purdueinfantspeech,4206,1,experiment ended early
purdueinfantspeech,4214,1,experiment ended early
purdueinfantspeech,4218,1,experiment ended early
purdueinfantspeech,4223,1,experiment ended early
purdueinfantspeech,4228,1,experiment ended early
purdueinfantspeech,4231,1,experiment ended early
purdueinfantspeech,4233,1,experiment ended early
purdueinfantspeech,4241,1,experiment ended early
purdueinfantspeech,4258,1,experiment ended early
purdueinfantspeech,4277,1,experiment ended early
purdueinfantspeech,4280,1,experiment ended early
purdueinfantspeech,4286,1,experiment ended early
purdueinfantspeech,4288,1,experiment ended early
purdueinfantspeech,4290,1,experiment ended early
purdueinfantspeech,4316,1,experiment ended early
purdueinfantspeech,4331,1,experiment ended early
purdueinfantspeech,4334,1,experiment ended early
purdueinfantspeech,4337,1,trial level error
purdueinfantspeech,4340,1,experiment ended early
purdueinfantspeech,4356,1,experiment ended early
purdueinfantspeech,4369,1,experiment ended early
trainorlab,s01,1,lookaway criterion of 3s acceptable
trainorlab,s02,1,lookaway criterion of 3s acceptable
trainorlab,s03,1,lookaway criterion of 3s acceptable
trainorlab,s04,1,lookaway criterion of 3s acceptable
trainorlab,s05,1,lookaway criterion of 3s acceptable
trainorlab,s06,1,lookaway criterion of 3s acceptable + trial level error
trainorlab,s07,1,lookaway criterion of 3s acceptable
trainorlab,s08,1,lookaway criterion of 3s acceptable
trainorlab,s09,1,lookaway criterion of 3s acceptable
trainorlab,s11,1,lookaway criterion of 3s acceptable
trainorlab,s12,1,lookaway criterion of 3s acceptable + language exclusion
trainorlab,s13,1,lookaway criterion of 3s acceptable + language exclusion
trainorlab,s14,1,lookaway criterion of 3s acceptable + language exclusion
trainorlab,s15,1,lookaway criterion of 3s acceptable
trainorlab,s16,1,lookaway criterion of 3s acceptable
trainorlab,s17,1,lookaway criterion of 3s acceptable + language exclusion
trainorlab,s18,1,lookaway criterion of 3s acceptable
trainorlab,s19,1,lookaway criterion of 3s acceptable
trainorlab,s20,1,lookaway criterion of 3s acceptable
trainorlab,s21,1,lookaway criterion of 3s acceptable
trainorlab,s22,1,lookaway criterion of 3s acceptable + language exclusion
trainorlab,s23,1,lookaway criterion of 3s acceptable
trainorlab,s26,1,trial level error
trainorlab,s28,1,fussiness handled at trial level
trainorlab,s31,1,trial level error
udssaarland,3,1,fussiness handled at trial level
udssaarland,20,1,fussiness handled at trial level
udssaarland,46,1,fussiness handled at trial level
udssaarland,64,1,fussiness handled at trial level
unlvmusiclab,run016,1,language exclusion
unlvmusiclab,run021,1,experiment ended early
unlvmusiclab,run026,1,language exclusion
weescienceedinburgh,mb05,1,experiment ended early
weescienceedinburgh,mb09,1,experiment ended early
weescienceedinburgh,mb15,1,experiment ended early
weltentdeckerzurich,mb12539,1,trial level error
weltentdeckerzurich,mb12588,1,trial level error
weltentdeckerzurich,mb12911,1,experiment ended early
weltentdeckerzurich,mb12989,1,experiment ended early
weltentdeckerzurich,mb13242,1,trial level error
weltentdeckerzurich,mb13326,1,trial level error
weltentdeckerzurich,mb13721,1,experiment ended early
weltentdeckerzurich,mb13730,1,experiment ended early
weltentdeckerzurich,mb13782,1,experiment ended early
weltentdeckerzurich,mb13925,1,trial level error
weltentdeckerzurich,mb13968,1,fussiness handled at trial level
weltentdeckerzurich,mb14191,1,trial level error
weltentdeckerzurich,mb14204,1,trial level error
weltentdeckerzurich,mb14207,1,trial level error
wsigoettingen,m102,1,language exclusion
wsigoettingen,m225,1,language exclusion
wsigoettingen,m318,1,preterm exclusion
wsigoettingen,m409,1,language exclusion
wsigoettingen,m416,1,language exclusion
