,lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,notes
15,childlab-manchester,mb07,ADS,ADS6,14,0.65,2.654,noerror,
16,childlab-manchester,mb07,IDS,IDS8,15,0.694,2.8,noerror,
17,childlab-manchester,mb07,ADS,ADS8,16,0.97,3.286,noerror,
0,childlab-manchester,mb08,training,train1,-2,0.002,0.002,error,unknown error cause trial to skip
1,childlab-manchester,mb08,training,train2,-1,8.902,13.65,noerror,
2,childlab-manchester,mb08,ADS,ADS5,1,7.452,10.208,noerror,
3,childlab-manchester,mb08,IDS,IDS5,2,4.422,8.112,noerror,
4,childlab-manchester,mb08,IDS,IDS7,3,3.996,6.676,noerror,
5,childlab-manchester,mb08,ADS,ADS7,4,4.63,7.244,noerror,
6,childlab-manchester,mb08,IDS,IDS1,5,7.07,9.794,noerror,
7,childlab-manchester,mb08,ADS,ADS1,6,3.184,5.896,noerror,
8,childlab-manchester,mb08,IDS,IDS3,7,5.588,8.046,noerror,
9,childlab-manchester,mb08,ADS,ADS3,8,4.652,9.024,noerror,
10,childlab-manchester,mb08,IDS,IDS2,9,2.396,4.398,noerror,
11,childlab-manchester,mb08,ADS,ADS2,10,5.328,7.522,noerror,
12,childlab-manchester,mb08,ADS,ADS4,11,5.52,7.622,noerror,
13,childlab-manchester,mb08,IDS,IDS4,12,2.426,5.186,noerror,
14,childlab-manchester,mb08,ADS,ADS6,13,4.008,6.276,noerror,
15,childlab-manchester,mb08,IDS,IDS6,14,2.276,5.04,noerror,
16,childlab-manchester,mb08,ADS,ADS8,15,2.774,4.774,noerror,
17,childlab-manchester,mb08,IDS,IDS8,16,3.57,7.356,noerror,
0,childlab-manchester,mb09,training,train1,-2,4.424,7.26,noerror,
1,childlab-manchester,mb09,training,train2,-1,2.314,4.314,noerror,
2,childlab-manchester,mb09,IDS,IDS1,1,4.682,9.608,noerror,
3,childlab-manchester,mb09,ADS,ADS1,2,3.774,7.456,noerror,
4,childlab-manchester,mb09,IDS,IDS2,3,1.872,5.834,noerror,
5,childlab-manchester,mb09,ADS,ADS2,4,3.656,7.536,noerror,
6,childlab-manchester,mb09,ADS,ADS3,5,3.324,5.974,noerror,
7,childlab-manchester,mb09,IDS,IDS3,6,8.766,15.264,noerror,
8,childlab-manchester,mb09,IDS,IDS4,7,3.396,7.378,noerror,
9,childlab-manchester,mb09,ADS,ADS4,8,2.268,4.348,noerror,
10,childlab-manchester,mb09,ADS,ADS5,9,2.342,4.342,noerror,
11,childlab-manchester,mb09,IDS,IDS5,10,1.66,3.66,noerror,
12,childlab-manchester,mb09,ADS,ADS6,11,1.758,4.042,noerror,
13,childlab-manchester,mb09,IDS,IDS6,12,1.596,3.596,noerror,
14,childlab-manchester,mb09,IDS,IDS7,13,2.436,5.214,noerror,
15,childlab-manchester,mb09,ADS,ADS7,14,1.42,3.42,noerror,
16,childlab-manchester,mb09,ADS,ADS8,15,2.088,4.848,noerror,
17,childlab-manchester,mb09,IDS,IDS8,16,1.732,3.734,noerror,
0,childlab-manchester,mb10,training,train1,-2,1.144,3.458,noerror,
1,childlab-manchester,mb10,training,train2,-1,4.516,6.516,noerror,
2,childlab-manchester,mb10,ADS,ADS1,1,0,2.002,noerror,No Looking
3,childlab-manchester,mb10,IDS,IDS1,2,3.794,6.424,noerror,
4,childlab-manchester,mb10,ADS,ADS2,3,1.346,3.9,noerror,
5,childlab-manchester,mb10,IDS,IDS2,4,2.12,11.892,noerror,
6,childlab-manchester,mb10,IDS,IDS3,5,0.602,2.602,noerror,
7,childlab-manchester,mb10,ADS,ADS3,6,0.562,3.25,noerror,
8,childlab-manchester,mb10,ADS,ADS4,7,0,2,noerror,No Looking
9,childlab-manchester,mb10,IDS,IDS4,8,3.02,5.704,noerror,
10,childlab-manchester,mb10,IDS,IDS5,9,0,2,noerror,No Looking
11,childlab-manchester,mb10,ADS,ADS5,10,0,2,noerror,No Looking
12,childlab-manchester,mb10,IDS,IDS6,11,8.91,15.07,noerror,
13,childlab-manchester,mb10,ADS,ADS6,12,0.1,2.1,noerror,
14,childlab-manchester,mb10,ADS,ADS7,13,7.338,11.018,noerror,
15,childlab-manchester,mb10,IDS,IDS7,14,0,2,noerror,No Looking
16,childlab-manchester,mb10,IDS,IDS8,15,6.136,9.246,noerror,
17,childlab-manchester,mb10,ADS,ADS8,16,1.782,6.32,noerror,
0,childlab-manchester,mb11a,training,train1,-2,7.114,9.63,noerror,
1,childlab-manchester,mb11a,training,train2,-1,11.504,18.01,noerror,
2,childlab-manchester,mb11a,IDS,IDS5,1,13.84,18.002,noerror,
3,childlab-manchester,mb11a,ADS,ADS5,2,15.484,18.006,noerror,
4,childlab-manchester,mb11a,ADS,ADS7,3,5.68,8.546,noerror,
5,childlab-manchester,mb11a,IDS,IDS7,4,7.322,9.676,noerror,
6,childlab-manchester,mb11a,ADS,ADS1,5,4.886,7.634,noerror,
7,childlab-manchester,mb11a,IDS,IDS1,6,15.356,18.008,noerror,
8,childlab-manchester,mb11a,ADS,ADS3,7,4.402,8.562,noerror,
9,childlab-manchester,mb11a,IDS,IDS3,8,4.83,8.406,noerror,
10,childlab-manchester,mb11a,ADS,ADS2,9,5.434,8.77,noerror,
11,childlab-manchester,mb11a,IDS,IDS2,10,1.05,3.05,noerror,
12,childlab-manchester,mb11a,IDS,IDS4,11,10.06,16.962,noerror,
13,childlab-manchester,mb11a,ADS,ADS4,12,1.706,3.91,noerror,
14,childlab-manchester,mb11a,IDS,IDS6,13,2.048,5.242,noerror,
15,childlab-manchester,mb11a,ADS,ADS6,14,1.072,4.996,noerror,
16,childlab-manchester,mb11a,IDS,IDS8,15,0,2,noerror,No Looking
17,childlab-manchester,mb11a,ADS,ADS8,16,0,2.002,noerror,
0,childlab-manchester,mb12,training,train1,-2,5.916,10.292,noerror,
1,childlab-manchester,mb12,training,train2,-1,1.144,3.146,noerror,
2,childlab-manchester,mb12,ADS,ADS5,1,1.918,5.202,noerror,
3,childlab-manchester,mb12,IDS,IDS5,2,1.706,5.19,noerror,
4,childlab-manchester,mb12,IDS,IDS7,3,1.134,3.138,noerror,
5,childlab-manchester,mb12,ADS,ADS7,4,0.926,2.926,noerror,
6,childlab-manchester,mb12,IDS,IDS1,5,1.038,3.038,noerror,
7,childlab-manchester,mb12,ADS,ADS1,6,0,2,noerror,No Looking
8,childlab-manchester,mb12,IDS,IDS3,7,0.486,2.802,noerror,
9,childlab-manchester,mb12,ADS,ADS3,8,0,2,noerror,No Looking
10,childlab-manchester,mb12,NA,NA,9,NC,NC,error,aborted experiment
11,childlab-manchester,mb12,NA,NA,10,NC,NC,error,aborted experiment
12,childlab-manchester,mb12,NA,NA,11,NC,NC,error,aborted experiment
13,childlab-manchester,mb12,NA,NA,12,NC,NC,error,aborted experiment
14,childlab-manchester,mb12,NA,NA,13,NC,NC,error,aborted experiment
15,childlab-manchester,mb12,NA,NA,14,NC,NC,error,aborted experiment
16,childlab-manchester,mb12,NA,NA,15,NC,NC,error,aborted experiment
17,childlab-manchester,mb12,NA,NA,16,NC,NC,error,aborted experiment
0,childlab-manchester,mb13,NA,NA,-2,NC,NC,error,"eyetracker died, no data"
1,childlab-manchester,mb13,NA,NA,-1,NC,NC,error,"eyetracker died, no data"
2,childlab-manchester,mb13,NA,NA,1,NC,NC,error,"eyetracker died, no data"
3,childlab-manchester,mb13,NA,NA,2,NC,NC,error,"eyetracker died, no data"
4,childlab-manchester,mb13,NA,NA,3,NC,NC,error,"eyetracker died, no data"
5,childlab-manchester,mb13,NA,NA,4,NC,NC,error,"eyetracker died, no data"
6,childlab-manchester,mb13,NA,NA,5,NC,NC,error,"eyetracker died, no data"
7,childlab-manchester,mb13,NA,NA,6,NC,NC,error,"eyetracker died, no data"
8,childlab-manchester,mb13,NA,NA,7,NC,NC,error,"eyetracker died, no data"
9,childlab-manchester,mb13,NA,NA,8,NC,NC,error,"eyetracker died, no data"
10,childlab-manchester,mb13,NA,NA,9,NC,NC,error,"eyetracker died, no data"
11,childlab-manchester,mb13,NA,NA,10,NC,NC,error,"eyetracker died, no data"
12,childlab-manchester,mb13,NA,NA,11,NC,NC,error,"eyetracker died, no data"
13,childlab-manchester,mb13,NA,NA,12,NC,NC,error,"eyetracker died, no data"
14,childlab-manchester,mb13,NA,NA,13,NC,NC,error,"eyetracker died, no data"
15,childlab-manchester,mb13,NA,NA,14,NC,NC,error,"eyetracker died, no data"
16,childlab-manchester,mb13,NA,NA,15,NC,NC,error,"eyetracker died, no data"
17,childlab-manchester,mb13,NA,NA,16,NC,NC,error,"eyetracker died, no data"
0,childlab-manchester,mb14,training,train1,-2,4.202,6.842,noerror,
1,childlab-manchester,mb14,training,train2,-1,1.112,3.64,noerror,
2,childlab-manchester,mb14,ADS,ADS1,1,3.75,6.58,noerror,
3,childlab-manchester,mb14,IDS,IDS1,2,0.608,4.95,noerror,
4,childlab-manchester,mb14,ADS,ADS2,3,0,2.002,noerror,
5,childlab-manchester,mb14,NA,NA,4,1.512,4.414,noerror,
6,childlab-manchester,mb14,IDS,IDS3,5,0.446,2.446,noerror,
7,childlab-manchester,mb14,ADS,ADS3,6,6.91,11.174,noerror,
8,childlab-manchester,mb14,ADS,ADS4,7,1.092,3.094,noerror,
9,childlab-manchester,mb14,IDS,IDS4,8,4.012,6.712,noerror,
10,childlab-manchester,mb14,IDS,IDS5,9,0.444,4.53,noerror,
11,childlab-manchester,mb14,ADS,ADS5,10,0,2,noerror,No Looking
12,childlab-manchester,mb14,IDS,IDS6,11,0.414,2.414,noerror,
13,childlab-manchester,mb14,ADS,ADS6,12,1.522,4.674,noerror,
14,childlab-manchester,mb14,ADS,ADS7,13,0.418,2.418,noerror,
15,childlab-manchester,mb14,IDS,IDS7,14,0.206,2.208,noerror,
16,childlab-manchester,mb14,IDS,IDS8,15,0.862,2.864,noerror,
17,childlab-manchester,mb14,ADS,ADS8,16,0.222,2.222,noerror,
0,childlab-manchester,mb15,training,train1,-2,0,2.002,noerror,No Looking
1,childlab-manchester,mb15,training,train2,-1,0,2,noerror,No Looking
2,childlab-manchester,mb15,IDS,IDS5,1,1.404,4.556,noerror,
3,childlab-manchester,mb15,ADS,ADS5,2,0,2,noerror,No Looking
4,childlab-manchester,mb15,ADS,ADS7,3,0,2.002,noerror,
5,childlab-manchester,mb15,IDS,IDS7,4,0.838,3.02,noerror,
6,childlab-manchester,mb15,ADS,ADS1,5,1.178,3.178,noerror,
7,childlab-manchester,mb15,IDS,IDS1,6,0.438,3.426,noerror,
8,childlab-manchester,mb15,ADS,ADS3,7,0,2,noerror,No Looking
9,childlab-manchester,mb15,IDS,IDS3,8,0.116,3.088,noerror,
10,childlab-manchester,mb15,ADS,ADS2,9,0,2,noerror,No Looking
11,childlab-manchester,mb15,IDS,IDS2,10,0,2,noerror,No Looking
12,childlab-manchester,mb15,IDS,IDS4,11,0,2,noerror,No Looking
13,childlab-manchester,mb15,ADS,ADS4,12,0,2,noerror,No Looking
14,childlab-manchester,mb15,IDS,IDS6,13,0.81,4.006,noerror,
15,childlab-manchester,mb15,ADS,ADS6,14,0,2,noerror,No Looking
16,childlab-manchester,mb15,IDS,IDS8,15,3.538,8.936,noerror,
17,childlab-manchester,mb15,ADS,ADS8,16,0,2,noerror,No Looking
0,childlab-manchester,mb17,training,train1,-2,10.408,15.572,noerror,
1,childlab-manchester,mb17,training,train2,-1,2.38,4.802,noerror,
2,childlab-manchester,mb17,IDS,IDS1,1,5.956,9,noerror,
3,childlab-manchester,mb17,ADS,ADS1,2,0.338,4.744,noerror,
4,childlab-manchester,mb17,IDS,IDS2,3,0,2.002,error,fussy
5,childlab-manchester,mb17,ADS,ADS2,4,0,2.002,error,fussy
6,childlab-manchester,mb17,ADS,ADS3,5,0,2.004,error,fussy
7,childlab-manchester,mb17,IDS,IDS3,6,0,2,error,fussy
8,childlab-manchester,mb17,IDS,IDS4,7,9.194,11.318,error,fussy
9,childlab-manchester,mb17,NA,NA,8,NC,NC,error,aborted experiment
10,childlab-manchester,mb17,NA,NA,9,NC,NC,error,aborted experiment
11,childlab-manchester,mb17,NA,NA,10,NC,NC,error,aborted experiment
12,childlab-manchester,mb17,NA,NA,11,NC,NC,error,aborted experiment
13,childlab-manchester,mb17,NA,NA,12,NC,NC,error,aborted experiment
14,childlab-manchester,mb17,NA,NA,13,NC,NC,error,aborted experiment
15,childlab-manchester,mb17,NA,NA,14,NC,NC,error,aborted experiment
16,childlab-manchester,mb17,NA,NA,15,NC,NC,error,aborted experiment
17,childlab-manchester,mb17,NA,NA,16,NC,NC,error,aborted experiment
0,childlab-manchester,mb18,training,train1,-2,12.384,14.384,noerror,
1,childlab-manchester,mb18,training,train2,-1,2.296,4.296,noerror,
2,childlab-manchester,mb18,ADS,ADS1,1,17.732,18.002,noerror,
3,childlab-manchester,mb18,IDS,IDS1,2,13.148,18.012,noerror,
4,childlab-manchester,mb18,ADS,ADS2,3,5.586,7.588,noerror,
5,childlab-manchester,mb18,IDS,IDS2,4,3.704,5.704,noerror,
6,childlab-manchester,mb18,IDS,IDS3,5,17.644,18.01,noerror,
7,childlab-manchester,mb18,ADS,ADS3,6,6.654,6.714,noerror,
8,childlab-manchester,mb18,ADS,ADS4,7,8.982,10.984,noerror,
9,childlab-manchester,mb18,NA,NA,8,NC,NC,error,aborted trial to adjust eyelink settings to find eye
10,childlab-manchester,mb18,NA,NA,9,NC,NC,error,aborted trial to adjust eyelink settings to find eye
11,childlab-manchester,mb18,ADS,ADS5,10,17.45,18.004,noerror,
12,childlab-manchester,mb18,IDS,IDS6,11,3.428,7.056,noerror,
13,childlab-manchester,mb18,ADS,ADS6,12,0.182,2.22,noerror,
14,childlab-manchester,mb18,NA,NA,13,NC,NC,error,aborted trial to adjust eyelink settings to find eye
15,childlab-manchester,mb18,NA,NA,14,NC,NC,error,aborted trial to adjust eyelink settings to find eye
16,childlab-manchester,mb18,IDS,IDS8,15,6.48,8.482,noerror,
17,childlab-manchester,mb18,ADS,ADS8,16,0,2,noerror,No Looking
0,childlab-manchester,mb19,training,train1,-2,12.834,18.004,noerror,
1,childlab-manchester,mb19,training,train2,-1,3.8,6.012,noerror,
2,childlab-manchester,mb19,IDS,IDS5,1,5.7,5.7,noerror,
3,childlab-manchester,mb19,ADS,ADS5,2,6.242,8.522,noerror,
4,childlab-manchester,mb19,ADS,ADS7,3,2.156,4.156,noerror,
5,childlab-manchester,mb19,IDS,IDS7,4,14.594,16.802,noerror,
6,childlab-manchester,mb19,ADS,ADS1,5,13.48,18.006,noerror,
7,childlab-manchester,mb19,IDS,IDS1,6,12.646,15.878,noerror,
8,childlab-manchester,mb19,ADS,ADS3,7,5.156,7.248,noerror,
9,childlab-manchester,mb19,IDS,IDS3,8,16.824,18.004,noerror,
10,childlab-manchester,mb19,ADS,ADS2,9,5.126,8.286,noerror,
11,childlab-manchester,mb19,IDS,IDS2,10,2.132,4.134,noerror,
12,childlab-manchester,mb19,IDS,IDS4,11,9.994,15.174,noerror,
13,childlab-manchester,mb19,ADS,ADS4,12,2.832,5.232,noerror,
14,childlab-manchester,mb19,IDS,IDS6,13,3.446,5.446,noerror,
15,childlab-manchester,mb19,ADS,ADS6,14,0.358,2.36,noerror,
16,childlab-manchester,mb19,IDS,IDS8,15,2.112,4.764,noerror,
17,childlab-manchester,mb19,ADS,ADS8,16,0.662,2.662,noerror,
0,childlab-manchester,mb20,training,train1,-2,1.336,3.342,noerror,
1,childlab-manchester,mb20,training,train2,-1,2.664,6.65,noerror,
2,childlab-manchester,mb20,ADS,ADS5,1,0,2,noerror,No Looking
3,childlab-manchester,mb20,IDS,IDS5,2,0,2.002,noerror,
4,childlab-manchester,mb20,IDS,IDS7,3,2.194,4.194,noerror,
5,childlab-manchester,mb20,ADS,ADS7,4,0.996,2.996,noerror,
6,childlab-manchester,mb20,IDS,IDS1,5,1.032,3.032,noerror,
7,childlab-manchester,mb20,ADS,ADS1,6,0.994,2.998,noerror,
8,childlab-manchester,mb20,IDS,IDS3,7,0.826,2.83,noerror,
9,childlab-manchester,mb20,ADS,ADS3,8,0,2,noerror,No Looking
10,childlab-manchester,mb20,IDS,IDS2,9,0,2,noerror,No Looking
11,childlab-manchester,mb20,ADS,ADS2,10,0,2,noerror,No Looking
12,childlab-manchester,mb20,NA,NA,11,NC,NC,error,aborted trial to adjust eyelink settings to find eye
13,childlab-manchester,mb20,IDS,IDS4,12,0.698,2.702,noerror,
14,childlab-manchester,mb20,ADS,ADS6,13,0,2,noerror,No Looking
15,childlab-manchester,mb20,IDS,IDS6,14,0.494,2.646,noerror,
16,childlab-manchester,mb20,ADS,ADS8,15,0.618,2.618,noerror,
17,childlab-manchester,mb20,NA,NA,16,NC,NC,error,aborted experiment
0,childlab-manchester,mb21,training,train1,-1,NC,NC,error,unknown error cause trial to skip
1,childlab-manchester,mb21,training,train2,0,6.002,9.326,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
2,childlab-manchester,mb21,IDS,IDS1,1,11.746,13.116,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
3,childlab-manchester,mb21,ADS,ADS1,2,1.07,3.07,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
4,childlab-manchester,mb21,IDS,IDS2,3,7.258,9.586,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
5,childlab-manchester,mb21,ADS,ADS2,4,8.008,13.548,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
6,childlab-manchester,mb21,ADS,ADS3,5,5.184,9.242,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
7,childlab-manchester,mb21,IDS,IDS3,6,0,2.002,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
8,childlab-manchester,mb21,IDS,IDS4,7,0,2,error,"No Looking, did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)"
9,childlab-manchester,mb21,ADS,ADS4,8,0,2,error,"No Looking, did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)"
10,childlab-manchester,mb21,ADS,ADS5,9,0,2.002,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
11,childlab-manchester,mb21,IDS,IDS5,10,1.07,5.126,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
12,childlab-manchester,mb21,ADS,ADS6,11,0,2,error,"No Looking, did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)"
