lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes,LocalTimeStamp,RecordingDate,
CogDevLab-BYU,P21,training,train1,-2,20.1,20.1,noerror,NA,NA,10:05:45.242,12/20/2017,
CogDevLab-BYU,P21,training,train2,-1,18.4,18.4,noerror,NA,NA,10:06:06.435,12/20/2017,
CogDevLab-BYU,P21,IDS,IDS1,1,19.0,19.0,noerror,NA,NA,10:06:29.836,12/20/2017,
CogDevLab-BYU,P21,ADS,ADS1,2,17.1,17.1,noerror,NA,NA,10:06:50.781,12/20/2017,
CogDevLab-BYU,P21,IDS,IDS2,3,10.2,10.2,noerror,NA,NA,10:07:06.887,12/20/2017,
CogDevLab-BYU,P21,ADS,ADS2,4,04.0,04.0,noerror,NA,NA,10:07:23.553,12/20/2017,
CogDevLab-BYU,P22,training,train2,-2,10.5,10.5,noerror,NA,NA,10:49:30.124,12/20/2017,
CogDevLab-BYU,P22,ADS,ADS1,1,14.6,14.6,noerror,NA,NA,10:50:20.353,12/20/2017,
CogDevLab-BYU,P22,IDS,IDS1,2,13.0,13.0,noerror,NA,NA,10:50:49.826,12/20/2017,
CogDevLab-BYU,P22,ADS,ADS2,3,02.5,02.5,noerror,NA,NA,10:50:55.869,12/20/2017,
CogDevLab-BYU,P24,training,train1,-2,18.4,18.4,noerror,NA,NA,12:20:57.483,1/16/2018,
CogDevLab-BYU,P24,training,train2,-1,15.1,15.1,noerror,NA,NA,12:21:17.176,1/16/2018,
CogDevLab-BYU,P24,IDS,IDS1,1,19.2,19.2,noerror,NA,NA,12:21:45.217,1/16/2018,
CogDevLab-BYU,P24,ADS,ADS1,2,06.0,06.0,noerror,NA,NA,12:21:54.936,1/16/2018,
CogDevLab-BYU,P26,training,train2,-2,19.5,19.5,noerror,NA,NA,13:09:54.357,1/19/2018,
CogDevLab-BYU,P26,training,train1,-1,18.5,18.5,noerror,NA,NA,13:10:16.422,1/19/2018,
CogDevLab-BYU,P26,ADS,ADS1,1,19.2,19.2,noerror,NA,NA,13:10:39.776,1/19/2018,
CogDevLab-BYU,P26,IDS,IDS1,2,09.3,09.3,noerror,NA,NA,13:10:54.694,1/19/2018,
CogDevLab-BYU,P27,training,train1,-2,19.5,19.5,noerror,NA,NA,16:20:47.271,2/12/2018,
CogDevLab-BYU,P27,training,train2,-1,18.1,18.1,noerror,NA,NA,16:21:10.328,2/12/2018,
CogDevLab-BYU,P27,IDS,IDS5,1,02.4,02.4,noerror,NA,NA,16:21:22.115,2/12/2018,
CogDevLab-BYU,P30,training,train1,-2,10.6,10.6,noerror,NA,NA,16:22:16.772,2/21/2018,
CogDevLab-BYU,P32,training,train2,-2,07.8,07.8,noerror,NA,NA,09:45:33.918,2/22/2018,
CogDevLab-BYU,P32,training,train1,-1,19.3,19.3,noerror,NA,NA,09:46:03.162,2/22/2018,
CogDevLab-BYU,P32,ADS,ADS5,1,16.0,16.0,noerror,NA,NA,09:46:26.335,2/22/2018,
CogDevLab-BYU,P32,IDS,IDS5,2,19.4,19.4,noerror,NA,NA,09:46:53.348,2/22/2018,
CogDevLab-BYU,P32,IDS,IDS7,3,18.6,18.6,noerror,NA,NA,09:47:16.953,2/22/2018,
CogDevLab-BYU,P32,ADS,ADS7,4,19.3,19.3,noerror,NA,NA,09:47:41.946,2/22/2018,
CogDevLab-BYU,P32,IDS,IDS1,5,18.2,18.2,noerror,NA,NA,09:48:03.523,2/22/2018,
CogDevLab-BYU,P32,ADS,ADS1,6,19.1,19.1,noerror,NA,NA,09:48:29.300,2/22/2018,
CogDevLab-BYU,P32,IDS,IDS3,7,02.4,02.4,noerror,NA,NA,09:48:35.499,2/22/2018,
CogDevLab-BYU,P33,training,train1,-2,16.8,16.8,noerror,NA,NA,12:17:22.531,2/22/2018,
CogDevLab-BYU,P33,training,train2,-1,18.1,18.1,noerror,NA,NA,12:17:46.440,2/22/2018,
CogDevLab-BYU,P33,IDS,IDS1,1,12.0,12.0,noerror,NA,NA,12:18:03.778,2/22/2018,
CogDevLab-BYU,P34,training,train2,-2,16.1,16.1,noerror,NA,NA,13:35:24.605,2/23/2018,
CogDevLab-BYU,P34,training,train1,-1,18.8,18.8,noerror,NA,NA,13:35:54.037,2/23/2018,
CogDevLab-BYU,P34,ADS,ADS1,1,12.5,12.5,noerror,NA,NA,13:36:12.259,2/23/2018,
CogDevLab-BYU,P34,IDS,IDS1,2,13.0,13.0,noerror,NA,NA,13:36:34.188,2/23/2018,
CogDevLab-BYU,P34,ADS,ADS2,3,18.7,18.7,noerror,NA,NA,13:37:02.789,2/23/2018,
CogDevLab-BYU,P34,IDS,IDS3,4,23.0,23.0,noerror,NA,NA,13:37:28.942,2/23/2018,
CogDevLab-BYU,P37,training,train1,-3,15.5,15.5,noerror,NA,NA,11:26:05.622,3/2/2018,
CogDevLab-BYU,P37,training,train2,-2,12.7,12.7,noerror,NA,NA,11:26:19.345,3/2/2018,
CogDevLab-BYU,P38,training,train2,-2,11.5,11.5,noerror,NA,NA,11:00:16.357,3/5/2018,
CogDevLab-BYU,P38,training,train1,-1,17.6,17.6,noerror,NA,NA,11:00:48.497,3/5/2018,
CogDevLab-BYU,P38,ADS,ADS1,1,09.6,09.6,noerror,NA,NA,11:01:01.687,3/5/2018,
CogDevLab-BYU,P40,training,train2,-2,20.1,20.1,noerror,NA,NA,13:10:27.769,3/8/2018,
CogDevLab-BYU,P40,training,train1,-1,18.8,18.8,noerror,NA,NA,13:10:51.972,3/8/2018,
CogDevLab-BYU,P40,ADS,ADS5,1,19.6,19.6,noerror,NA,NA,13:11:17.250,3/8/2018,
CogDevLab-BYU,P40,IDS,IDS5,2,17.5,17.5,noerror,NA,NA,13:11:39.227,3/8/2018,
CogDevLab-BYU,P40,IDS,IDS7,3,18.6,18.6,noerror,NA,NA,13:12:06.516,3/8/2018,
CogDevLab-BYU,P40,ADS,ADS7,4,19.4,19.4,noerror,NA,NA,13:12:31.200,3/8/2018,
CogDevLab-BYU,P40,IDS,IDS1,5,19.6,19.6,noerror,NA,NA,13:12:55.121,3/8/2018,
CogDevLab-BYU,P40,ADS,ADS1,6,15.6,15.6,noerror,NA,NA,13:13:15.883,3/8/2018,
CogDevLab-BYU,P42,training,train1,-2,19.7,19.7,noerror,NA,NA,12:19:33.119,3/12/2018,
CogDevLab-BYU,P42,training,train2,-1,19.2,19.2,noerror,NA,NA,12:19:57.005,3/12/2018,
CogDevLab-BYU,P42,IDS,IDS1,1,16.0,16.0,noerror,NA,NA,12:20:16.242,3/12/2018,
CogDevLab-BYU,P42,ADS,ADS1,2,06.1,06.1,noerror,NA,NA,12:20:33.132,3/12/2018,
CogDevLab-BYU,P43,training,train2,-2,30.9,30.9,noerror,NA,NA,14:18:01.584,3/12/2018,
CogDevLab-BYU,P43,IDS,IDS5,1,18.6,18.6,noerror,NA,NA,14:18:33.076,3/12/2018,
CogDevLab-BYU,P43,ADS,ADS5,2,07.7,07.7,noerror,NA,NA,14:18:47.778,3/12/2018,
CogDevLab-BYU,P43,ADS,ADS7,3,16.0,16.0,noerror,NA,NA,14:19:20.334,3/12/2018,
CogDevLab-BYU,P43,IDS,IDS7,4,19.0,19.0,noerror,NA,NA,14:19:45.035,3/12/2018,
CogDevLab-BYU,P43,ADS,ADS1,5,15.9,15.9,noerror,NA,NA,14:20:05.441,3/12/2018,
CogDevLab-BYU,P43,IDS,IDS1,6,04.2,04.2,noerror,NA,NA,14:20:17.591,3/12/2018,
CogDevLab-BYU,P44,training,train2,-2,19.3,19.3,noerror,NA,NA,09:24:37.995,3/14/2018,
CogDevLab-BYU,P44,training,train1,-1,19.8,19.8,noerror,NA,NA,09:25:01.112,3/14/2018,
CogDevLab-BYU,P44,ADS,ADS5,1,19.6,19.6,noerror,NA,NA,09:25:24.293,3/14/2018,
CogDevLab-BYU,P44,IDS,IDS5,2,02.0,02.0,noerror,NA,NA,09:25:29.477,3/14/2018,
CogDevLab-BYU,P45,training,train1,-2,17.3,17.3,noerror,NA,NA,13:29:10.621,3/19/2018,
CogDevLab-BYU,P45,training,train2,-1,18.5,18.5,noerror,NA,NA,13:29:35.933,3/19/2018,
CogDevLab-BYU,P45,IDS,IDS1,1,19.9,19.9,noerror,NA,NA,13:30:00.850,3/19/2018,
CogDevLab-BYU,P45,ADS,ADS1,2,18.5,18.5,noerror,NA,NA,13:30:24.443,3/19/2018,
CogDevLab-BYU,P45,IDS,IDS2,3,18.8,18.8,noerror,NA,NA,13:30:49.428,3/19/2018,
CogDevLab-BYU,P45,ADS,ADS2,4,19.3,19.3,noerror,NA,NA,13:31:14.069,3/19/2018,
CogDevLab-BYU,P45,ADS,ADS3,5,17.8,17.8,noerror,NA,NA,13:31:36.950,3/19/2018,
CogDevLab-BYU,P45,IDS,IDS3,6,19.5,19.5,noerror,NA,NA,13:32:03.499,3/19/2018,
CogDevLab-BYU,P45,IDS,IDS4,7,19.6,19.6,noerror,NA,NA,13:32:27.496,3/19/2018,
CogDevLab-BYU,P45,ADS,ADS4,8,00.3,00.3,noerror,NA,NA,13:32:32.435,3/19/2018,
CogDevLab-BYU,P46,training,train2,-2,14.4,14.4,noerror,NA,NA,11:10:12.883,3/21/2018,
CogDevLab-BYU,P46,training,train1,-1,19.3,19.3,noerror,NA,NA,11:10:41.875,3/21/2018,
CogDevLab-BYU,P46,ADS,ADS1,1,19.8,19.8,noerror,NA,NA,11:11:05.392,3/21/2018,
CogDevLab-BYU,P46,IDS,IDS1,2,19.9,19.9,noerror,NA,NA,11:11:29.701,3/21/2018,
CogDevLab-BYU,P46,ADS,ADS2,3,20.0,20.0,noerror,NA,NA,11:11:53.030,3/21/2018,
CogDevLab-BYU,P46,IDS,IDS2,4,18.5,18.5,noerror,NA,NA,11:12:14.236,3/21/2018,
CogDevLab-BYU,P46,IDS,IDS3,5,20.0,20.0,noerror,NA,NA,11:12:38.572,3/21/2018,
CogDevLab-BYU,P46,ADS,ADS3,6,13.9,13.9,noerror,NA,NA,11:12:55.014,3/21/2018,
CogDevLab-BYU,P47,training,train1,-2,18.4,18.4,noerror,NA,NA,10:00:38.238,3/22/2018,
CogDevLab-BYU,P47,training,train2,-1,17.3,17.3,noerror,NA,NA,10:01:01.143,3/22/2018,
CogDevLab-BYU,P47,IDS,IDS1,1,08.2,08.2,noerror,NA,NA,10:01:18.777,3/22/2018,
CogDevLab-BYU,P50,training,train2,-2,18.1,18.1,noerror,NA,NA,08:20:42.376,4/4/2018,
CogDevLab-BYU,P50,training,train1,-1,01.0,01.0,noerror,NA,NA,08:20:46.807,4/4/2018,
CogDevLab-BYU,P51,training,train1,-2,16.1,16.1,noerror,NA,NA,11:50:12.991,4/4/2018,
CogDevLab-BYU,P51,training,train2,-1,00.9,00.9,noerror,NA,NA,11:50:21.330,4/4/2018,
CogDevLab-BYU,P51,IDS,IDS5,1,18.2,18.2,noerror,NA,NA,11:51:01.485,4/4/2018,
CogDevLab-BYU,P51,ADS,ADS5,2,19.5,19.5,noerror,NA,NA,11:51:25.694,4/4/2018,
CogDevLab-BYU,P52,training,train2,-2,11.2,11.2,noerror,NA,NA,14:17:40.949,4/4/2018,
CogDevLab-BYU,P52,training,train1,-1,12.6,12.6,noerror,NA,NA,14:18:02.735,4/4/2018,
CogDevLab-BYU,P55,training,train1,-2,19.6,19.6,noerror,NA,NA,11:30:50.155,4/12/2018,
CogDevLab-BYU,P55,training,train2,-1,19.4,19.4,noerror,NA,NA,11:31:12.821,4/12/2018,
CogDevLab-BYU,P55,IDS,IDS5,1,19.0,19.0,noerror,NA,NA,11:31:35.034,4/12/2018,
CogDevLab-BYU,P55,ADS,ADS5,2,19.3,19.3,noerror,NA,NA,11:31:58.223,4/12/2018,
CogDevLab-BYU,P55,ADS,ADS7,3,06.5,06.5,noerror,NA,NA,11:32:08.882,4/12/2018,
CogDevLab-BYU,P57,training,train1,-2,15.1,15.1,noerror,NA,NA,13:23:02.239,4/16/2018,
CogDevLab-BYU,P57,training,train2,-1,11.8,11.8,noerror,NA,NA,13:23:29.144,4/16/2018,
CogDevLab-BYU,P60,training,train2,-2,20.0,20.0,noerror,NA,NA,09:59:50.234,4/18/2018,
CogDevLab-BYU,P60,training,train1,-1,19.7,19.7,noerror,NA,NA,10:00:14.623,4/18/2018,
CogDevLab-BYU,P60,ADS,ADS5,1,17.0,17.0,noerror,NA,NA,10:00:34.741,4/18/2018,
CogDevLab-BYU,P60,IDS,IDS5,2,19.2,19.2,noerror,NA,NA,10:00:59.942,4/18/2018,
CogDevLab-BYU,P60,IDS,IDS7,3,19.2,19.2,noerror,NA,NA,10:01:22.307,4/18/2018,
CogDevLab-BYU,P60,ADS,ADS7,4,19.4,19.4,noerror,NA,NA,10:01:45.324,4/18/2018,
CogDevLab-BYU,P60,IDS,IDS1,5,04.0,04.0,noerror,NA,NA,10:01:52.955,4/18/2018,
CogDevLab-BYU,P62,training,train2,-2,18.9,18.9,noerror,NA,NA,16:48:52.487,6/11/2018,
CogDevLab-BYU,P62,training,train1,-1,19.4,19.4,noerror,NA,NA,16:49:15.200,6/11/2018,
CogDevLab-BYU,P62,ADS,ADS1,1,19.0,19.0,noerror,NA,NA,16:49:38.425,6/11/2018,
CogDevLab-BYU,P62,IDS,IDS1,2,18.2,18.2,noerror,NA,NA,16:50:01.058,6/11/2018,
CogDevLab-BYU,P62,ADS,ADS2,3,19.5,19.5,noerror,NA,NA,16:50:25.052,6/11/2018,
CogDevLab-BYU,P62,IDS,IDS2,4,19.5,19.5,noerror,NA,NA,16:50:49.268,6/11/2018,
CogDevLab-BYU,P62,IDS,IDS3,5,19.2,19.2,noerror,NA,NA,16:51:12.926,6/11/2018,
CogDevLab-BYU,P62,ADS,ADS3,6,20.0,20.0,noerror,NA,NA,16:51:36.935,6/11/2018,
CogDevLab-BYU,P62,ADS,ADS4,7,18.9,18.9,noerror,NA,NA,16:52:00.276,6/11/2018,
CogDevLab-BYU,P62,IDS,IDS4,8,20.0,20.0,noerror,NA,NA,16:52:26.212,6/11/2018,
CogDevLab-BYU,P62,IDS,IDS5,9,19.5,19.5,noerror,NA,NA,16:52:50.654,6/11/2018,
CogDevLab-BYU,P62,ADS,ADS5,10,19.3,19.3,noerror,NA,NA,16:53:15.199,6/11/2018,
CogDevLab-BYU,P62,IDS,IDS6,11,18.0,18.0,noerror,NA,NA,16:53:37.124,6/11/2018,
CogDevLab-BYU,P62,ADS,ADS6,12,18.2,18.2,noerror,NA,NA,16:54:02.109,6/11/2018,
CogDevLab-BYU,P62,ADS,ADS7,13,19.4,19.4,noerror,NA,NA,16:54:27.094,6/11/2018,
CogDevLab-BYU,P62,IDS,IDS7,14,18.0,18.0,noerror,NA,NA,16:54:50.451,6/11/2018,
CogDevLab-BYU,P62,IDS,IDS8,15,05.8,05.8,noerror,NA,NA,16:55:02.289,6/11/2018,
CogDevLab-BYU,P63,training,train1,-2,18.9,18.9,noerror,NA,NA,15:50:01.897,6/13/2018,
CogDevLab-BYU,P63,training,train2,-1,16.0,16.0,noerror,NA,NA,15:50:22.743,6/13/2018,
CogDevLab-BYU,P63,IDS,IDS5,1,16.7,16.7,noerror,NA,NA,15:50:46.424,6/13/2018,
CogDevLab-BYU,P63,ADS,ADS5,2,17.0,17.0,noerror,NA,NA,15:51:12.285,6/13/2018,
CogDevLab-BYU,P63,ADS,ADS7,3,16.8,16.8,noerror,NA,NA,15:51:34.662,6/13/2018,
CogDevLab-BYU,P63,IDS,IDS7,4,18.5,18.5,noerror,NA,NA,15:52:01.455,6/13/2018,
CogDevLab-BYU,P63,ADS,ADS1,5,15.4,15.4,noerror,NA,NA,15:52:23.688,6/13/2018,
CogDevLab-BYU,P63,IDS,IDS1,6,17.4,17.4,noerror,NA,NA,15:52:48.089,6/13/2018,
CogDevLab-BYU,P63,ADS,ADS3,7,06.3,06.3,noerror,NA,NA,15:53:00.803,6/13/2018,
CogDevLab-BYU,P64,training,train2,-2,19.4,19.4,noerror,NA,NA,15:25:05.385,6/14/2018,
CogDevLab-BYU,P64,training,train1,-1,17.8,17.8,noerror,NA,NA,15:25:34.429,6/14/2018,
CogDevLab-BYU,P64,ADS,ADS5,1,20.0,20.0,noerror,NA,NA,15:26:00.022,6/14/2018,
CogDevLab-BYU,P64,IDS,IDS5,2,19.8,19.8,noerror,NA,NA,15:26:23.411,6/14/2018,
CogDevLab-BYU,P64,IDS,IDS7,3,18.3,18.3,noerror,NA,NA,15:26:45.213,6/14/2018,
CogDevLab-BYU,P64,ADS,ADS7,4,12.6,12.6,noerror,NA,NA,15:27:03.386,6/14/2018,
CogDevLab-BYU,P65,training,train1,-2,18.7,18.7,noerror,NA,NA,11:15:31.897,6/15/2018,
CogDevLab-BYU,P65,training,train2,-1,19.8,19.8,noerror,NA,NA,11:15:55.262,6/15/2018,
CogDevLab-BYU,P65,IDS,IDS1,1,20.0,20.0,noerror,NA,NA,11:16:19.183,6/15/2018,
CogDevLab-BYU,P65,ADS,ADS1,2,20.0,20.0,noerror,NA,NA,11:16:42.480,6/15/2018,
CogDevLab-BYU,P65,IDS,IDS2,3,19.7,19.7,noerror,NA,NA,11:17:05.553,6/15/2018,
CogDevLab-BYU,P65,ADS,ADS2,4,19.5,19.5,noerror,NA,NA,11:17:29.742,6/15/2018,
CogDevLab-BYU,P65,ADS,ADS3,5,18.6,18.6,noerror,NA,NA,11:17:52.495,6/15/2018,
CogDevLab-BYU,P65,IDS,IDS3,6,19.9,19.9,noerror,NA,NA,11:18:18.068,6/15/2018,
CogDevLab-BYU,P65,IDS,IDS4,7,18.8,18.8,noerror,NA,NA,11:18:40.653,6/15/2018,
CogDevLab-BYU,P65,ADS,ADS4,8,19.9,19.9,noerror,NA,NA,11:19:06.186,6/15/2018,
CogDevLab-BYU,P65,ADS,ADS5,9,03.0,03.0,noerror,NA,NA,11:19:12.969,6/15/2018,
